espn_id,team,season,table,midseason,date,outgoing,outgoing_interim,reason,reason_text,incoming,incoming_interim,source
30,USC Trojans,2013,in_season,true,2013-09-29,Lane Kiffin,false,fired,Fired,Ed Orgeron,true,2013 NCAA Division I FBS football season
41,UConn Huskies,2013,in_season,true,2013-09-30,Paul Pasqualoni,false,fired,Fired,T. J. Weist,true,2013 NCAA Division I FBS football season
193,Miami (OH) RedHawks,2013,in_season,true,2013-10-06,Don Treadwell,false,fired,Fired,Mike Bath,true,2013 NCAA Division I FBS football season
2226,Florida Atlantic Owls,2013,in_season,true,2013-10-30,Carl Pelini,false,fired,Fired,Brian Wright,true,2013 NCAA Division I FBS football season
2199,Eastern Michigan Eagles,2013,in_season,true,2013-11-08,Ron English,false,fired,Fired,Stan Parrish,true,2013 NCAA Division I FBS football season
2751,Wyoming Cowboys,2014,in_season,false,2013-12-01,Dave Christensen,false,fired,Fired,Craig Bohl,false,2013 NCAA Division I FBS football season
30,USC Trojans,2014,in_season,false,2013-12-02,Ed Orgeron,false,resigned,Resigned,Clay Helton,true,2013 NCAA Division I FBS football season
30,USC Trojans,2014,in_season,false,2013-12-02,Clay Helton,true,interim_replaced,Permanent replacement,Steve Sarkisian,false,2013 NCAA Division I FBS football season
154,Wake Forest Demon Deacons,2014,in_season,false,2013-12-02,Jim Grobe,false,resigned,Resigned,Dave Clawson,false,2013 NCAA Division I FBS football season
264,Washington Huskies,2014,in_season,false,2013-12-02,Steve Sarkisian,false,left_for_job,Hired by USC,Marques Tuiasosopo,true,2013 NCAA Division I FBS football season
193,Miami (OH) RedHawks,2014,in_season,false,2013-12-03,Mike Bath,true,interim_replaced,Permanent replacement,Chuck Martin,false,2013 NCAA Division I FBS football season
68,Boise State Broncos,2014,in_season,false,2013-12-06,Chris Petersen,false,left_for_job,Hired by Washington,Bob Gregory,true,2013 NCAA Division I FBS football season
264,Washington Huskies,2014,in_season,false,2013-12-06,Marques Tuiasosopo,true,interim_replaced,Permanent replacement,Chris Petersen,false,2013 NCAA Division I FBS football season
189,Bowling Green Falcons,2014,in_season,false,2013-12-10,Dave Clawson,false,left_for_job,Hired by Wake Forest,Adam Scheier,true,2013 NCAA Division I FBS football season
2032,Arkansas State Red Wolves,2014,in_season,false,2013-12-11,Bryan Harsin,false,left_for_job,Hired by Boise State,John Thompson,true,2013 NCAA Division I FBS football season
68,Boise State Broncos,2014,in_season,false,2013-12-11,Bob Gregory,true,interim_replaced,Permanent replacement,Bryan Harsin,false,2013 NCAA Division I FBS football season
2199,Eastern Michigan Eagles,2014,in_season,false,2013-12-11,Stan Parrish,true,interim_replaced,Permanent replacement,Chris Creighton,false,2013 NCAA Division I FBS football season
41,UConn Huskies,2014,in_season,false,2013-12-12,T. J. Weist,true,interim_replaced,Permanent replacement,Bob Diaco,false,2013 NCAA Division I FBS football season
251,Texas Longhorns,2014,in_season,false,2013-12-14,Mack Brown,false,resigned,Resigned,Charlie Strong,false,2013 NCAA Division I FBS football season
349,Army Black Knights,2014,in_season,false,2013-12-15,Rich Ellerson,false,fired,Fired,Jeff Monken,false,2013 NCAA Division I FBS football season
2226,Florida Atlantic Owls,2014,in_season,false,2013-12-17,Brian Wright,true,interim_replaced,Permanent replacement,Charlie Partridge,false,2013 NCAA Division I FBS football season
189,Bowling Green Falcons,2014,in_season,false,2013-12-18,Adam Scheier,true,interim_replaced,Permanent replacement,Dino Babers,false,2013 NCAA Division I FBS football season
2032,Arkansas State Red Wolves,2014,in_season,false,2013-12-19,John Thompson,true,interim_replaced,Permanent replacement,Blake Anderson,false,2013 NCAA Division I FBS football season
113,Massachusetts Minutemen,2014,in_season,false,2013-12-26,Charley Molnar,false,fired,Fired,Mark Whipple,false,2013 NCAA Division I FBS football season
213,Penn State Nittany Lions,2014,in_season,false,2014-01-02,Bill O'Brien,false,left_for_job,Hired by the Houston Texans,James Franklin,false,2013 NCAA Division I FBS football season
97,Louisville Cardinals,2014,in_season,false,2014-01-05,Charlie Strong,false,left_for_job,Hired by Texas,Bobby Petrino,false,2013 NCAA Division I FBS football season
